start	end	text
0	3800	没有人站出来 没有人会表现出这种英雄的感觉
3800	7200	就让一种 就是媒体特别弱
7200	11200	在这个媒体上 男人形象上站出来的时候
11200	15000	我觉得这个宣传力度就很弱
15000	20000	像这一次这个乌克兰特总统他站出来带兵
20000	22400	他虽然说是有一种演义在里面
22400	26200	但是这种宣传 这种形象打出去
26200	29600	一下子就震撼了世界 震撼了所有
29600	35200	想被保护的人民与儿童和妇女的这种心
35200	37800	然后我有一个问题问郭主
37800	42200	就是刚才您讲的 就是等帝国出现以后
42200	43800	所有的帝国出现以后
43800	49200	那么那个时候就是整个俄罗斯和中共直接死掉
49200	52200	那么这个时间会有多长
52200	55800	那就证明这个是不是就在战争结束之际
56800	62800	如果可以的话 我愿意以我一切的一切来告证这个世界
62800	66800	2022年不会再有普大地西太阳
71800	73800	你们没有啥感觉
75800	77800	昨天晚上我在这吃饭
77800	81800	Q妹还有她儿子 还有这小魔女白白问我
81800	84800	白白问我 七哥 是今年是不是就毕业过
84800	87800	我说不可能 2024年 我说还需要2024年
87800	90800	但是呢 这俩人可能会没有 我说是可能
90800	94800	但今天早上 就昨天晚上根据我了解俄罗斯内部情况
94800	100800	和西太阳的身体 记住人类上全地球只有郭文贵
100800	104800	在2015年告诉中东的朋友 告诉美国朋友
104800	108800	我说相信我 不要看着普京那个所谓的帅哥肌肉
108800	109800	他身体不好
111800	116800	是我当时告诉全世界 我说习近平身体撑不过去
116800	120800	都是69岁 他撑不过69岁 胯不过70岁
123800	124800	只有我一个人
125800	127800	你知道当时说我什么吗
127800	130800	你知道当时CIA的哥们在英国伦敦看我说
132800	134800	你太可爱了
135800	138800	美国人从来不寄希望以哪个坏人是身体死掉
138800	144800	我说那是你 我来自于情报
146800	151800	二战 一战 所有人类历史上 昏君 还有好人 大德
151800	156800	都是在身体变化以后做出了你无法想象的决定
158800	159800	这就叫人类
162800	165800	普京的最早的身体情况是最早我找我的
165800	169800	包括习他 徐太阳 他两次手术这个我都太清楚
169800	171800	如果哪天我要告诉你们真相的时候
171800	174800	记住这些真相是不可能被淹没的
174800	175800	因为它是互联网时代
175800	178800	我保证你们每个人会吓死你们
178800	180800	为什么齐克知道
180800	183800	你们真的相信老天爷帮我们
183800	184800	记住我今天说的话
184800	186800	那么今天就是我直播前
186800	189800	我了解到整个普大地的东西以后
189800	193800	不管如何他和徐太阳都坚持不过今年年底
193800	198800	所以齐克说2022年是人类上最黑暗的一年
198800	199800	今天证明了吧
199800	200800	有这样的战争你觉得吗
200800	203800	人类第一次被抬到桌子上
203800	204800	连美国总统弟子说
204800	207800	美国要做好准备大核战的准备
208800	212800	你见过人类上能把核武器当成长弓武器来考证过吗
212800	216800	你见过病毒和这一切都在这种情况下吗
216800	219800	你见过吗 人类上最黑暗的
219800	220800	人类上最黑暗的
220800	224800	但是这个时候真的在黑暗中最最弱小的
224800	227800	最亮的就是我们新中国联邦
229800	232800	而且徐太阳没有不存在
232800	234800	会很快不存在
234800	236800	不是我一个人说的
236800	238800	中南海整个周围高层
240800	241800	在长安街上
241800	246800	只要是真的有参与决策前执行权的人都知道
246800	249800	不可能有明年徐太阳、徐大帝
250800	251800	徐大帝
251800	255800	这就是人类我们遇到了现在最大挑战和最多美好
255800	257800	我们太幸福了
257800	261800	我们在面临着人类的最大的转折时刻
262800	266800	这就是我们新中国联邦人一定要搂住坚持微真不破
266800	272800	你不要在鲜花开放前把你的生命给枯萎了
273800	277800	你成为了鲜花开放的所谓的沃土
277800	278800	我们不要成为沃土
278800	281800	我们要成为欣赏鲜花开放
282800	284800	看到蝴蝶满天飞
284800	286800	蕴异万物
286800	291800	而我们成为享受阳光鲜花和美丽的人群
291800	293800	那就叫新中国联邦
297800	299800	我们要打倒这个战场
300800	304800	我们要参与这个战场后的重建
304800	308800	不管发生多少事情都不要忘了这两个主题
308800	310800	任何到前线救战友的
310800	312800	像大卫还有要飞到前线的
312800	314800	你们掉一根汗毛
314800	317800	你不会看到共产党那个形式把你什么
317800	319800	给你成为英雄
319800	320800	绝对不可能
320800	321800	我们第一个契合决定
321800	323800	很冷酷的把你踢出去
323800	326800	一个救援行动都让你把毛没了
326800	327800	要参与战争的话
327800	329800	你还不把命丢了吗
329800	333800	我们不鼓励任何人当英雄和死去的英雄
333800	335800	我们只叫你要结果
335800	337800	救人实际效果
337800	338800	无我的救人
338800	340800	不要有表演
340800	343800	不要有什么自己的私心
343800	344800	这是为什么
344800	346800	现在昨天下午的时候
346800	350800	我们的律师团队说
350800	351800	郭先生我在法庭呢
351800	353800	说这个要租飞机
353800	354800	租什么飞机
354800	355800	租什么飞机
355800	358800	我说你把这个权利你不要再说了
358800	363800	新中国联邦也把权利交给老班长长岛和大卫
363800	365800	如水他们交给他们去
365800	366800	让他们去定
366800	369800	在前要几个就定几个
369800	372800	不低于十个
372800	374800	不尚不封顶
374800	375800	但前提是
375800	377800	我说你们要找的这个组织
377800	378800	要影响了我战友的安全
378800	379800	我是不愿意的
379800	381800	必须保证安全
381800	382800	最后是救援组织
382800	386800	救援组织说如果你们让我到基辅市中心救人
386800	388800	到里边把人救出来
388800	391800	出来就50%的可能是被炸掉
391800	394800	我们救人的人和你被救人可能都成为尸体
394800	397800	所以救一个人1000万美元
397800	399800	然后我回来长岛哥说
399800	401800	七哥给你报个好消息
401800	403800	所有的战友已经都出来了
403800	404800	百分之百
404800	408800	这就是天意
408800	409800	然后我告诉你
409800	412800	不管救多少中国同胞
412800	415800	不要你任何个人信息
415800	417800	我们提供三天的免治点
417800	419800	只要是中国同胞
419800	420800	好吧
420800	422800	然后你不用任何商量
422800	423800	你可以选择不
423800	424800	你选择yes
424800	426800	而且那个港口我们已经宣布了
426800	428800	那个海港的乌克兰军人
428800	430800	波兰军人都会对你开放
430800	433800	你有没有证件签证都会让你过去
433800	435800	过去以后我们有人接
435800	437800	你愿意跟谁走就走
437800	438800	你自己走
438800	442800	然后我们接下来会往亚洲美洲
442800	444800	包括美国人
444800	445800	包括日本人
445800	446800	包括英国人
446800	447800	包括加拿大人
447800	448800	包括澳大利亚人
448800	452800	都可以上这飞机免费
452800	455800	新中国联邦人没有募一分款
455800	456800	没有让人捐一分款
456800	457800	没有让人上一分钱
457800	461800	没卖一个29块钱的鹿大脑袋
461800	464800	没卖任何两块钱的什么宣言
464800	465800	什么宣言
465800	466800	兄弟姐妹们
466800	468800	让那些愚蠢的猪们
468800	470800	让那些愚蠢的人们
470800	472800	让他们享受他们的愚蠢吧
472800	474800	让他们在愚蠢中让他们继续下去吧
474800	477800	那么我们迎接一个鲜花灿烂的
477800	479800	新世界的到来
479800	481800	你们就是猪人
481800	482800	谢谢
489800	492800	好的 那我们就绕一圈
492800	493800	绕一圈开始
